"","Total Votes","County","County Office","Candidate","Party","Candidate Type","Election Votes","Percent"
"2219","1","Webb County","Race: Justice of the Peace Pct. 1 Place 1","JUAN PAZ","D","N","1",100
"2220","1","Webb County","Race: Sheriff","MARTIN CUELLAR","D","I","1",100
"2221","1","Webb County","Race: Tax Assessor-Collector","PATRICIA A. BARRERA","D","N","1",100
"2222","3,817","Wharton County","Race: Constable Pct. 1","WILLIAM (BILL) COPELAND","R","N","3,817",100
"2223","3,434","Wharton County","Race: Constable Pct. 2","JOHN A. SZYMANSKI","R","I","3,434",100
"2224","4,211","Wharton County","Race: Constable Pct. 3","ROBERT L. HOLDER","R","I","4,211",100
"2225","2,342","Wharton County","Race: Constable Pct. 4","SHAWN FERGUSON","R","I","2,342",100
"2226","13,740","Wharton County","Race: County Attorney","TREY MAFFETT","R","I","13,740",100
"2227","4,189","Wharton County","Race: County Commissioner Pct. 1","DAVID RODRIGUEZ","D","N","1,093",26.0921460969205
"2228","4,189","Wharton County","Race: County Commissioner Pct. 1","RICHARD ZAHN","R","I","3,096",73.9078539030795
"2229","3,456","Wharton County","Race: County Commissioner Pct. 2","W.D. ""BUD"" GRAVES","R","N","3,456",100
"2230","4,192","Wharton County","Race: County Commissioner Pct. 3","STEVEN GOETSCH","R","I","4,192",100
"2231","13709/13709","Wharton County","Race: District Attorney 329th Judicial District","DAWN ALLISON","R","I","13709/13709",NA
"2232","13,782","Wharton County","Race: Sheriff","SHANNON SRUBAR","R","I","13,782",100
"2233","14,011","Wharton County","Race: Tax Assessor-Collector","CINDY HERNANDEZ","R","N","14,011",100
"2234","1,083","Wheeler County","Race: Constable Pct. 1","MACK MARSHALL","R","I","1,083",100
"2235","1,121","Wheeler County","Race: Constable Pct. 2","KENNETH MARTINDALE","R","I","1,121",100
"2236","1,999","Wheeler County","Race: County Attorney","LESLIE STANDERFER","R","I","1,999",100
"2237","619","Wheeler County","Race: County Commissioner Pct. 1","JACKIE DON MAY JR","R","N","619",100
